CATEGORY,YEAR,GROUP,RANK,CAUSE,TOTAL_DEATHS
BY_AGE,2017,0-10,1,INSUFICIENCIA RESPIRATORIA,412
BY_AGE,2017,0-10,2,SHOCK SEPTICO,217
BY_AGE,2017,0-10,3,FALLA MULTIORGANICA,210
BY_AGE,2017,0-10,4,INSUFICIENCIA RESPIRATORIA AGUDA,184
BY_AGE,2017,0-10,5,EDEMA CEREBRAL,125
BY_AGE,2017,11-20,1,INSUFICIENCIA RESPIRATORIA,156
BY_AGE,2017,11-20,2,INSUFICIENCIA RESPIRATORIA AGUDA,109
BY_AGE,2017,11-20,3,EDEMA CEREBRAL,105
BY_AGE,2017,11-20,4,FALLA MULTIORGANICA,81
BY_AGE,2017,11-20,5,SHOCK SEPTICO,72
BY_AGE,2017,21-30,1,INSUFICIENCIA RESPIRATORIA,251
BY_AGE,2017,21-30,2,INSUFICIENCIA RESPIRATORIA AGUDA,198
BY_AGE,2017,21-30,3,EDEMA CEREBRAL,125
BY_AGE,2017,21-30,4,FALLA MULTIORGANICA,107
BY_AGE,2017,21-30,5,SHOCK HIPOVOLEMICO,99
BY_AGE,2017,31-40,1,INSUFICIENCIA RESPIRATORIA,318
BY_AGE,2017,31-40,2,INSUFICIENCIA RESPIRATORIA AGUDA,227
BY_AGE,2017,31-40,3,FALLA MULTIORGANICA,135
BY_AGE,2017,31-40,4,SHOCK SEPTICO,105
BY_AGE,2017,31-40,5,EDEMA CEREBRAL,103
BY_AGE,2017,41-50,1,INSUFICIENCIA RESPIRATORIA,594
BY_AGE,2017,41-50,2,INSUFICIENCIA RESPIRATORIA AGUDA,309
BY_AGE,2017,41-50,3,FALLA MULTIORGANICA,215
BY_AGE,2017,41-50,4,SHOCK SEPTICO,160
BY_AGE,2017,41-50,5,EDEMA CEREBRAL,125
BY_AGE,2017,51-60,1,INSUFICIENCIA RESPIRATORIA,869
BY_AGE,2017,51-60,2,INSUFICIENCIA RESPIRATORIA AGUDA,551
BY_AGE,2017,51-60,3,FALLA MULTIORGANICA,343
BY_AGE,2017,51-60,4,SHOCK SEPTICO,285
BY_AGE,2017,51-60,5,PARO CARDIORESPIRATORIO,165
BY_AGE,2017,61-70,1,INSUFICIENCIA RESPIRATORIA,1445
BY_AGE,2017,61-70,2,INSUFICIENCIA RESPIRATORIA AGUDA,882
BY_AGE,2017,61-70,3,FALLA MULTIORGANICA,509
BY_AGE,2017,61-70,4,SHOCK SEPTICO,410
BY_AGE,2017,61-70,5,SEPSIS,284
BY_AGE,2017,71-80,1,INSUFICIENCIA RESPIRATORIA,2275
BY_AGE,2017,71-80,2,INSUFICIENCIA RESPIRATORIA AGUDA,1451
BY_AGE,2017,71-80,3,FALLA MULTIORGANICA,705
BY_AGE,2017,71-80,4,SHOCK SEPTICO,697
BY_AGE,2017,71-80,5,SEPSIS,457
BY_AGE,2017,81-90,1,INSUFICIENCIA RESPIRATORIA,2993
BY_AGE,2017,81-90,2,INSUFICIENCIA RESPIRATORIA AGUDA,1767
BY_AGE,2017,81-90,3,FALLA MULTIORGANICA,817
BY_AGE,2017,81-90,4,SHOCK SEPTICO,778
BY_AGE,2017,81-90,5,SEPSIS,634
